matchID,timestamp,class,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,isGuest,opponentClubId,opponentScore,opponentTeamId,player_dnf,playerLevel,pNhlOnlineGameType,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,score,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,teamId,teamSide,toi,toiseconds,playername,clientPlatform,Teams_x,TeamID_x,Teams_y,TeamID_y,Teams,TeamID
2.4243E+12,2023-12-14 23:08:34-05:00,21,1,2,2,0,4,4,0,0,0,0,0,0.78,14,18,0,1,1656,4,500,0,141,5,goalie,0,70,60,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,1,60,3600,Benzymcnasty,xbsx,,,,,Art of Execution,1656
2.4243E+12,2023-12-14 23:08:34-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,4,500,0,106,5,defenseMen,2,65,60,85,2,0,0,0,0,0,0,10,0,0,5,2,24,19,79.17,2,0,0,-2,207,0,0,0,1,0,0,0,1,501,1,60,3600,Scalprr,xbsx,,,,,Art of Execution,1656
2.4243E+12,2023-12-14 23:08:34-05:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,4,500,0,59,5,leftWing,4,55,80,45,2,0,0,0,0,0,0,14,1,0,2,4,26,17,65.38,0,4,0,-2,203,0,0,0,6,100,16.67,6,4,501,1,56,3362,mhook1797,ps5,,,,,Art of Execution,1656
2.4243E+12,2023-12-14 23:08:34-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,4,500,0,80,5,center,5,70,100,100,2,0,0,0,18,45.45,15,14,1,0,14,8,24,19,79.17,0,0,0,-2,191,0,0,0,3,66.67,50,2,7,501,1,60,3600,iZinczyi,xbsx,,,,,Art of Execution,1656
2.4243E+12,2023-12-14 23:08:34-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,4,500,0,80,5,defenseMen,1,80,80,65,2,2,0,0,0,0,0,7,0,0,2,7,19,14,73.68,1,0,0,-2,313,0,0,0,2,100,0,2,1,501,1,60,3600,xCree10-,ps5,,,,,Art of Execution,1656
2.42035E+12,2023-12-14 22:36:27-05:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,3,501,0,73,5,rightWing,3,50,50,55,0,0,0,0,2,0,0,2,0,0,1,0,2,1,50,0,0,0,-1,15,0,0,0,1,0,0,0,0,500,0,6,340,CorSnortzky,ps5,,,,,Art of Execution,1656
2.42035E+12,2023-12-14 22:36:27-05:00,21,0,0,0,0,1,10,0,0,0,0,0,0.67,2,3,0,1,1656,3,501,1,141,5,goalie,0,50,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,6,340,Benzymcnasty,xbsx,,,,,Art of Execution,1656
2.42035E+12,2023-12-14 22:36:27-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,501,0,106,5,defenseMen,2,50,50,55,0,0,0,0,0,0,0,0,0,0,1,0,1,1,100,0,0,0,-1,5,0,0,0,0,0,0,0,0,500,0,6,340,Scalprr,xbsx,,,,,Art of Execution,1656
2.42035E+12,2023-12-14 22:36:27-05:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,3,501,0,59,5,leftWing,4,60,50,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,39,0,0,0,3,100,0,3,0,500,0,6,340,mhook1797,ps5,,,,,Art of Execution,1656
2.42035E+12,2023-12-14 22:36:27-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,501,0,80,5,center,5,50,50,45,0,0,0,0,1,66.67,2,0,0,0,1,0,1,1,100,0,2,0,-1,15,0,0,0,0,0,0,0,0,500,0,4,221,iZinczyi,xbsx,,,,,Art of Execution,1656
2.42035E+12,2023-12-14 22:36:27-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,3,501,0,80,5,defenseMen,1,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,1,-1,24,0,0,0,0,0,0,0,0,500,0,6,340,xCree10-,ps5,,,,,Art of Execution,1656
2.4243E+12,2023-12-14 23:08:34-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,2,501,0,74,5,leftWing,4,75,100,75,4,2,1,0,0,0,0,8,2,0,5,6,19,12,63.16,1,0,0,2,190,0,0,0,5,100,40,5,6,500,0,60,3600,SweatedOrb5,xbsx,,,,,Vitality,60
2.4243E+12,2023-12-14 23:08:34-05:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,2,501,0,58,5,rightWing,3,65,100,40,4,1,0,0,0,0,0,11,2,1,5,7,16,10,62.5,0,4,1,2,220,0,0,0,6,100,33.33,6,4,500,0,56,3362,lCLuTcH GoDz,xbsx,,,,,Vitality,60
2.4243E+12,2023-12-14 23:08:34-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,501,0,59,5,center,5,100,80,85,4,2,1,1,15,54.55,18,0,0,0,2,6,20,18,90,1,0,0,2,169,0,0,0,1,100,0,1,4,500,0,60,3600,DevNastyy,xbsx,,,,,Vitality,60
2.4243E+12,2023-12-14 23:08:34-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,2,501,0,135,5,defenseMen,2,100,70,80,4,1,0,0,0,0,0,11,0,0,8,12,24,17,70.83,1,0,1,2,146,0,0,0,0,0,0,0,8,500,0,60,3600,rahzki,xbsx,,,,,Vitality,60
2.4243E+12,2023-12-14 23:08:34-05:00,21,0,0,0,0,2,2,0,0,0,0,0,0.88,15,17,0,0,60,2,501,0,101,5,goalie,0,85,75,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,60,3600,lCEx35,xbsx,,,,,Vitality,60
2.4243E+12,2023-12-14 23:08:34-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,2,501,0,84,5,defenseMen,1,100,70,65,4,2,0,0,0,0,0,15,0,0,7,4,18,13,72.22,0,2,0,2,372,0,1,0,4,75,0,3,1,500,0,58,3481,Ceel Makar,xbsx,,,,,Vitality,60
2.42035E+12,2023-12-14 22:36:27-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,500,0,74,5,leftWing,4,50,70,50,3,0,0,0,0,0,0,0,1,0,0,0,2,2,100,0,0,0,1,10,0,0,0,3,66.67,50,2,0,501,1,6,340,SweatedOrb5,xbsx,,,,,Vitality,60
2.42035E+12,2023-12-14 22:36:27-05:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,500,0,58,5,rightWing,3,50,60,45,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,501,1,6,340,lCLuTcH GoDz,xbsx,,,,,Vitality,60
2.42035E+12,2023-12-14 22:36:27-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,500,0,59,5,center,5,50,55,55,3,0,0,0,2,60,3,0,0,0,0,0,1,1,100,0,0,0,1,13,0,0,0,0,0,0,0,0,501,1,6,340,DevNastyy,xbsx,,,,,Vitality,60
2.42035E+12,2023-12-14 22:36:27-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,500,0,135,5,defenseMen,2,50,55,55,3,0,0,0,0,0,0,0,0,0,0,0,2,2,100,1,0,0,1,15,0,0,0,1,100,0,1,0,501,1,6,340,rahzki,xbsx,,,,,Vitality,60
2.42035E+12,2023-12-14 22:36:27-05:00,21,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,60,0,500,0,101,5,goalie,0,50,55,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,1,6,340,lCEx35,xbsx,,,,,Vitality,60
2.42035E+12,2023-12-14 22:36:27-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,500,0,84,5,defenseMen,1,55,60,50,3,1,0,0,0,0,0,0,0,0,0,1,4,3,75,0,0,0,1,49,0,0,0,1,0,0,0,1,501,1,6,340,Ceel Makar,xbsx,,,,,Vitality,60
